case_id                                                                                                                                                                                                                                                                                                            customer_text prelabel_intent                                                                                                                                                                                                                                                              historical_verizon_reply
 VZ-122                                                                                                                                                              @VerizonSupport Switch the 2-yr contract that’s not even supposed to be a thing to a normal payment plan. Was told 5 different things and multiple tickets.             I07                                                                                                                                                                                                   @663023 Please DM us the details and we will take a closer look at it for you. ^TNT
 VZ-123                                                                                                                                                                                @VerizonSupport Please contact me ASAP. Your field reps signed me up for Fios service this weekend but your online team says it was fraud             I10                                                                                                                                                                                                                                  @208379 Oh no!! How can we assist youwith this? ^TDC
 VZ-124                                                                                                                                                                                                          @VerizonSupport this is the second week in a row where you took an unauthorized payment out of my bank account.             I10                                                                            @361461 We are sorry to hear this. Did it take the payment out from your funds? Sometimes it will show a auto correction and look like 2 payments, but the other transaction amount did not come out. ^ADP
 VZ-125                                                                                                                                                              @VerizonSupport Insanely slow doesnt even reach half my house goes out multiple times a day for no reason and gives me a fifth the download speed i pay for             I02                                                                                                                                                                          @502900 Could you connect with a wired device and run a speed test for us then post the results please. ^RMD
 VZ-126                                                                                                                                                                                                                                      @VerizonSupport how can I directly connect? Do you know why I have such slow speed?             I02                                                                                                                                              @382964 No worries if you don't have any Ethernet connected devices. Can you install the My Fios app on any of your mobile devices? ^DDD
 VZ-127                                                                                                                                                                                                                    Why am I still with @VerizonSupport if I can't even stream @115940 in my own home... Seriously 5mbps?             I12                                                                                                                                                                                                                       @120007 Help is here! Do you have DSL or FIos with us Joe? ^DDG
 VZ-128                                                                                                                                                                                  @VerizonSupport I put an order in last night, an iPad, to get the $250 off deal. Today my credit card company decided to say it's fraud             I10                                                                                                                                                                        @355314 Let us partner you with our Verizon Wireless Team @115990. We will get this over to them for you. ^FEM
 VZ-129                                                                                                                                                                                    @VerizonSupport Was adding cable already previous internet service but Maybe have a rational customer service representative call me?             I05                                                                                                                                                                                                                                                 @199723 Please follow and DM us. ^ACM
 VZ-130                                                                                                           @VerizonSupport There's two possibilities: either charging to replace defective equipment or standing by your service and products by replacing defective equipment as a courtesy to your subscribed customer.             I03                                                                                                                                                    @771441 Have you attempted to purchase a remote via the set top box? You may be eligible for a one time courtesy replacement. ^BAB
 VZ-131                                                                                                                  @115725 @VerizonSupport @115722 @115990 WORST CUSTOMER SERVICE EVER. You should be fined the amount of minutes I have been left on hold. (3+ hours)for a problem your computers caused. I just gave up.             I11                                                                                                                                                                                                               @133774 Oh no!! Is this for residential or wireless phone service? ^TDC
 VZ-132                                                                                                                                                                                                                               @VerizonSupport Now 90 minutes btw... Internet down for several hours despite router reset             I03                                                                                                                                                      @365132 Is the internet light currently lit on your router? If so, what color is it? Also, do you have Fios or DSL with us? ^HSB
 VZ-133                                                                                                                                                                                           @115722 worst cust svc agent closing"Happy Thanksgiving despite inability to fix issue until next week-sarcasm not appreciated             I06                                                                                                                                                                                                                            @285305 We're here for you Naomie! How can we assist? ^DDG
 VZ-134                                                                                                                                                                                                  @VerizonSupport been trying to become a customer for nearly a month but apparently im a fraud so I guess ill try @ATT ?             I10                                                                                                                                                                                                         @291894 Bobby, Are you trying to setup wireless or home service with us? ^NHP
 VZ-135                                                                                                                                                                                                                                                                     @VerizonSupport Yes, I think it’s next to the router             I03                                                                                                                                                                                                      @559182 There should be an ONT reset button. Hold that down for 15 seconds. ^TXA
 VZ-136                                                                  @VerizonSupport Please tell me that this # I got on my Voice Mail was from your helpline? "1-800-754-0961" is this a real # that contacted me and can it be trusted? I really don't want scammed and am looking forward to your reply. Thank you. #help             I09                                                                                                                                                                                                        @683247 We'd like to help! Is this for Fios or Wireless (mobile) service? ^DDD
 VZ-137                                                                                                                                                                                           @115722 Second outage in a week. I’d like to know when it will be fixed and how I will be compensated! Phone wait is too long.             I01                                                                                                                                              @611776 We can take a look at this for you. Have you already confirmed that this is an outage and not just affecting your services? ^BCW
 VZ-138                                                                                                                                                                             I’m a long time @115722 customer and as a reward for being loyal &amp; trying to update bundle I get +$40 &amp; $50fee to return old eqpmnt😤             I07                                                                                                                                                                                           @457122 Did the increase happen with a contract renewal or with an upgrade of service? ^HSB
 VZ-139                                                                                                                                                             @VerizonSupport I upgrade from 150/150 to the Gigabit. I already have the Quantam router. I selected to upgrade for next 12 months. It didn't give me a day.             I03                                                                                                                                      @169479 Awesome! We were going to ask if you received an order confirmation. If you run into any trouble tomorrow we are just a tweet away. ^HSB
 VZ-140                                                                                                                                                                                                                        @VerizonSupport They're fine. I just had FiOS installed. This only happens when viewing on demand             I08                                                                                                                                                                                             @796745 Thank you. Have you already tried rebooting both the router and set top box? ^DDD
 VZ-141                                                                                                                                                                                                                                                                   Note to self: never get @115725 internet again. #Trash             I12                                                                                                                                                                                                               @501409 We'd like to turn your perception around. What's going on? ^DDD
 VZ-142                                                                                                                                                                                                                                                                  Does @VerizonSupport not have live chat anymore online?             I12                                                                                                                                                                                                             @440623 Hi Keith, we can help you here. What problem are you having? ^FEM
 VZ-143                                                                                                                                                                                                                                                                                                      @VerizonSupport Dm?             I12                                                                                                                                                                                                                                                @544111 Direct message us please. ^RMD
 VZ-144                                                                                                                                                                             @VerizonSupport No dsl got a new router, phones work in outlets but not internet Modem light for dsl stays red. Were told no issues in lines             I03                                                                                                                                                                                                           @532174 Let's work on it! Please follow and DM us at your convenience. ^DDD
 VZ-145                                                                                   @117830 I just put in a call to FIOS to switch from DIRECTV as my internet and TV service provider because your advertising on @254033 who blatantly now is defending a child perpetrator is unacceptable to me #RoyMooreChildMolester             I05                                                                                                                                                                                                                   @693234 We would be happy to have you! https://t.co/5XKMT3lOuU ^ACM
 VZ-146                                                                                                                                                                                           @VerizonSupport All devices. Dropped streams, slow speeds, reset and restarted devices work fine and then lag, start dropping.             I02                                                                                                                                                                                                                                 @719244 Have you reset the battery back up unit? ^NHP
 VZ-147                                                                                                                                                             @VerizonSupport Haven't checked the ONT, but if the 800# has a recording about an outage I don't think it's me. ;) Just curious if its a planned maintenance             I01                                                                                                                                                                                                     @214915 We are not aware of a current outage or downtime due to maintenance. ^BAB
 VZ-148                                                                                                                                                                                                                      @767941 @115725 Good job Verizon. High service charges is not supposed to equal unreliable service.             I07                                                                                                                                                                  @767940 We want your service to be reliable, Joe. Are we discussing your cellular or residential service today? ^BCW
 VZ-149                                                                                                                                                                               Every time I have to reach out to @VerizonSupport, I get a problem quickly and professionally resolved via live chat. Couldn't be happier.             I06                                                                                                                                                                                                             @440316 Thank you, Blitzburgh Brian. We're always just a tweet away. ^NHP
 VZ-150                                                                                                                                                                             Being switched from Verizon to xfinity is like in TF2 when you're winning and then suddenly you're automatically assigned to the losing team             I05                                                                                                                                                @312052 We miss you! We have many different bundles fit for your liking. Use this link to check them out. ^DDG https://t.co/rjKhyIytNV
 VZ-151                                                                                                                                                                                                          @VerizonSupport 45min wait for customer service...on the phone? See ya, will be canceling tomorrow. #wedontcare             I11                                                                                                                                                                                                         @759637 Is this for your Verizon residential or Verizon wireless mobile? ^ADP
 VZ-152                                                                                                                                                                                                                                                  Shout out @115722 for having the shittiest customer service out there 👌             I12                                                                                                                                                                            @536366 Now I understand that you might be upset but we have always helped you here. What's going on? ^RMD
 VZ-153                                                                                                                                                                                                                                @115725 @335871 Thank you for being transparent with the facts Verizon. I appreciate you!             I06                                                                                                                                                                                        @335870 We appreciate your patience in the matter while we work on getting this resolved. ^JRA
 VZ-154                                                                                                                                                                                                                                                   What's good with the @115725 data outage this morning in South Florida             I01                                                                                                                                                                                                            @769139 We understand your concerns, let us partner you with @115990. ^ADP
 VZ-155                                                                                                                                                                                                              @115722 is there an outage in New Rochelle NY? Can't run my business without it. Need my internet and phone             I01                                                                                                                                                                                                       @397383 No major outages that we can see. Are your other services working? ^ACM
 VZ-156                                                                                                                                                          @321754 @6592 @10309 some of my center ice channels are blacked out &amp; they don't know why. i had the nash feed of preds-stars. dallas feed was blacked out.             I04                                                                                                                                                                     @304811 Blackouts are determined by the league and implemented by the network. We have no control over them. ^KMG
 VZ-157                                                                                                                                                                                                                                   @VerizonSupport Peruse ticket #nyeg0m1ucf. @115725 will be receiving formal complaint.             I11                                                                                                                                                                                                     @766172 Thank you for the information. Follow and DM for further assistance. ^BAB
 VZ-158                                                                                                                                                                                                                        @VerizonSupport We scheduled call because we were told it was the only way to change our service.             I08                                                                                                                                                                                                               @468171 Please DM us the details and we will look into it for you. ^TNT
 VZ-159                                                                                                                                                                                                                                                            @115722 @VerizonSupport is there an outage in the 19446 area?             I01                                                                                                                                                                                                    @130327 Not that we are aware of at this time. Are all of your services down? ^HSB
 VZ-160                                                                                                                                                                                                                                                                                   @115722 Please call me at 631-560-1546             I05                                                                                                                                                                                                  @717483 We aren't able to make calls here however we can help! What's going on? ^DDG
 VZ-161                                                                                                                                                                                     @115722 im canceling this week. Internet=crap. Router restarts when it wants too. Router is a replacement i got from you months ago.             I11                                                                                                                                                                                                                   @202247 Let us look into it for you. Please DM us the details. ^TNT
 VZ-162                                                                                                                                                                                                Thank you @115722 for waking me up at 8am on Sunday saying you will be here in 30 mins it’s now 11am still no technician😒             I08                                                                                                                                                                                @200807 Oh no! If you can follow and DM us, we can take a look at where that technician might be. ^BCW
 VZ-163                                                                                                                                                                                                                                                                             @115725 has the worst customer service ever.             I11                                                                                                                                                                      @217584 We want you to love our service. Did you need assistance with your cellular or residential service? ^BCW
 VZ-164                                                                                                                                                                                                                                                     @VerizonSupport I believe so the tax amount is higher than the rate!             I12                                                                                                                                                                                                                                                              @191097 What state? ^BAB
 VZ-165                                                                                                                                                                                                                               @VerizonSupport when switching channels, I sometimes get a "popping" noise through the TV.             I04                                                                                                                                                                                                                                  @138189 That's odd! Does this occur often Zack? ^DDG
 VZ-166                                                                                                                                                                                                                                                                                         @VerizonSupport I only have 1 TV             I04                                                                                                                                                @486940 You will need to unscrew the coax connection from the back of the box and from the jack or splitter if you can get to it. ^ADP
 VZ-167                                                                                                                                                                                                                                        @VerizonSupport New week same result. Full refund please. https://t.co/5H79r7LtTT             I07                                                                                                                                                                                                                                   @260751 Plase follow and DM us for assistance. ^TDC
 VZ-168                                                                                                                                                                                                                                                  @411070 @115725 Mine’s out too, tried rebooting the router but no dice.             I03                                                                                                                                                                                                               @412067 Uh Oh! Is the internet light currently lit on your router? ^HSB
 VZ-169                                                                                                                                                                                 @115725 the internet at my house is still NOT WORKING. It’s been four months. It is pretty hard to do your homework without WiFi. FIX IT             I12                                                                                                                                                                                                           @178053 Oh no let us look into it for you. What state are you located? ^TNT
 VZ-170                                                                                                                                                                                                       @VerizonSupport Is there currently as issue with verifying fios accounts online for sites like hbogo and showtime?             I04                                                                                                                                                                                                                                    @205495 Follow and DM for further assistance. ^BAB
 VZ-171                                                                                                                                                                                                                           @VerizonSupport Sure! This is using the Verizon router. Same location. https://t.co/TEgHmEuybA             I03                                                                                                                                                                                                         @813179 Are any devices connected other than the one you are testing on? ^KMG
 VZ-172                                                                                                                                           @VerizonSupport I'm not using a Verizon router. Also that shouldn't be necessary as this has happened before and usually all you have to do is reset my network from your end.             I06                                                                                                                                                                                          @771620 You can reset the system. Do you know where the Battery Backup unit is located? ^FEM
 VZ-173                                                                                                                                                                                                                                                      @115722 my download speed is 2mb/s can I get faster internet please             I02                                                                                                                                                                                                                      @645744 Oh no, is that over a wired or wireless connection? ^JRA
 VZ-174                                                                                                                                                                                                 @VerizonSupport I did that and it did not work. It still shows as connected on laptop and devices but nothing is loading             I04                                                                                                                                                                                                                             @157788 What color are the lights on the router now? ^JAY
 VZ-175                                                                                                                                                                                                                                         @VerizonSupport No. I cancelled my service that is where all the trouble started             I11                                                                                                                                                                                                                  @741437 Thank you. Please follow and DM us at your convenience. ^DDD
 VZ-176                                                                                                                                                            @VerizonSupport Why would any of those two problems cause key presses to be delayed? I don't push the button again, it only registers after significant time.             I12                                                                                                                                                                                                     @698005 If it's still acting slow after the reboot, please follow and DM us. ^BCW
 VZ-177                                                                                                                                                                @VerizonSupport Yes online chat. “no outage” - but all techs are busy until Wed? My job depends on online access - I need a company who understands that!             I08                                                                                                                                                                                  @724883 We understand. Our technicians currently have repairs jobs for other customers as well. ^CAR
 VZ-178                                                                                                                                                                                                                                     @VerizonSupport Both. Seems like the modem is constantly connecting and reconnecting             I03                                                                                                                                                 @808224 Understood, it sounds like it may be over utilization. How many devices are connected wired and wirelessly to the modem? ^JRA
 VZ-179                                                                                                                                                                                                           @VerizonSupport Cell. There was a fraud purchase on my account that should have been removed over a month ago.             I10                                                                                                                                                         @282654 Thanks for the tweet! We'll refer this to our wireless colleagues @115990 since we handle Fios and DSL accounts. ^DDD
 VZ-180                                                                                                                                                                                                                                                                                                      @VerizonSupport Yes             I12                                                                                                                                                                                             @116661 So are you seeing a black screen with the channel information at the bottom? ^JAY
 VZ-181                                                                                                                                                                           @VerizonSupport Unfortunately it's still down. We had heavy winds here in central NJ yesterday. Are there any know outages in Monmouth County?             I01                                                                                                                                                                               @582087 Can you check our outage site to see if you are part of an outage? https://t.co/tdPvxRi4pe ^FEM
 VZ-182                                                                                                                                                                                  @comcastcares no internet reset router 3 times going 2bed get it fixed never had 1 issue with Verizon 2 months in nothing but headaches             I03                                                                                                                                                                                                                      @227338 We have a place for you here in the Verizon family. ^BAB
 VZ-183                                                                                                                                                      So @Ask_Spectrum, are you trying to drive away all your customers? I'm done with your games and 'systemic schemes to defraud.' Hello, Fios! https://t.co/QDkCVmFyDL             I10                                                                                                                                                                                                                      @490745 We are happy to have you once engineering finishes! ^ACM
 VZ-184                                                                                                                                                     @VerizonSupport Strange tht a tech needs to come to property to troubleshoot an upload issue. ONT can't be accessed &amp; reviewed remotely? https://t.co/xUBOsp5Geu             I08                                                                                                                                                                                                                              @411349 The technician will need to check your ONT. ^NHP
 VZ-185                                                                                                                                                                                          @115722 you guys are really the worst! You call center representatives do unauthorized transactions and refused to put it back!             I10                                                                                                                                                                                                @355953 We want to help make this right, Nadine. Can you please follow and DM us. ^BCW
 VZ-186                                                                                                                            Dropping @115955 / #TimeWarner today for @115722 - already 10x better customer service and a cheaper monthly payment! $5 to speak to a manager?! Come on, #Spectrum.. https://t.co/TuAVc1sIHf             I07                                                                                                                                                                                                            @244491 Welcome to the Fios Family! Let us know if you need anything. ^KMG
 VZ-187                                                                                                                                                                                                                Very disappointed that Univision isn’t available on @115722 I missed the latin awards #pissed #imnothappy             I06                                                                                                                                                                                                @765814 That channel should be back now. Can you check to see if it's on your tv? ^BCW
 VZ-188                                                                                                                                                                                                       @115722 is finally coming to the neighborhood. Peace out @115900 your terrible, overpriced service won't be missed             I07                                                                                                                                      @538216 We're just as excited. We have many different bundles fit for your liking. Use this link to check them out. ^DDG https://t.co/TH2xoNLkEK
 VZ-189                                                                                                                                                                                       @VerizonSupport I am currently on my university campus, but this has happened to me multiple times on my home network in the past.             I06                                                                                                                                                                                                                                       @292225 Are you able to reboot the router? ^NHP
 VZ-190                                                                                                                                                                                @115725 @VerizonSupport my elderly parents don’t have cell phones and landline out again. Impossible to find a number to report the issue             I05                                                                                                                                   @575366 Sorry to hear about the trouble, you can use 1-800-VERIZON (1-800-837-4966). We'd like to assist. Are you authorized on their account? ^JRA
 VZ-191                                                                                                                                                                                  @115722 massively dissatisfied with your Customer Service. Called to see what time technician would arrive for 'guaranteed appointment'             I08                                                                                                                                                                                                           @167714 We don't want to disappoint you. Was this for an installation? ^DDD
 VZ-192                                                                                                                                                                                                                                                                       @VerizonSupport It's not, only the LAN light is on             I12                                                                                                                                                              @163472 Understood, have you tried to sign in with your credentials to check for outages at https://t.co/5kcCXz7NKK ^JRA
 VZ-193                                         @116136 buffering buffering buffering buffering buffering buffering buffering trying to watch @116602 and all I get is buffering buffering buffering buffering buffering buffering buffering buffering. Hey @115725 you looking for a new customer? Any promos? #myinternetsucks             I02                                                                                                                                                                                   @747214 Hi Mike, Use this link to check out Fios TV plans and channels https://t.co/1eR2Ff4SXm ^FEM
 VZ-194                                                                                                                                                                                                                                                                      @115722 They will be when I get a hold of a manager             I12                                                                                                                                                                                              @236751 We'll be glad to clarify this. Please follow and DM us at your convenience. ^DDD
 VZ-195                                                                                                                                                                                                                         Can’t wait to go home. This @115725 Fios is horrible! Going home to my @116136 with all channels             I04                                                                                                                                                                                                    @495308 We can help right here. What seems to be going on with your services? ^BCW
 VZ-196                                     @VerizonSupport Im very disappointed by the lack of communication and customer service that I’ve received. After paying off my phone, instead of getting the upgrade I was promised, I was denied because my family plan reached a“credit limit”that was never previously discussed.             I07                                                                                                                                                                                                               @776505 Let me partner you with our Verizon Wireless team @115990. ^CAR
 VZ-197                                                                                                                                                                                                                  When you get @115722 set up and the same day it stops working... #verizonoutage or just shitty service?             I01                                                                                                                                                                                               @741436 Oh No! Allow us to help fix this. Are all of your services currently down? ^HSB
 VZ-198                                                                                                                                                                                                               @115725 For the last 24hrs I haven't been able to sign into my acct. on line, are you having any problems?             I06                                                                                                                                                                                                     @347500 We're here for you! Is this for a Fios or Wireless (mobile) account? ^DDD
 VZ-199                                                                                                                                                                                                                                                                                @VerizonSupport Yes, they didn't help me.             I12                                                                                                                                                                                                     @349000 Did our agent advise he was referring it to our billing specialists? ^DDD
 VZ-200                                                                                                                                                                                           @VerizonSupport As it was Verizon’s error, I was simply trying to confirm that there’s nothing reported to the credit bureaus.             I07                                                                                                                                                         @451615 Issues of this nature need to be handled by customer Financial. They are only available by phone. @ 800.698.3545 ^ACM
